old_code,new_code
IN100,LIS1200
MT215,MSE2304
MT217,MSE2305
MT214,MSE2303
MT025,MSE3306
MT027,MSE3313
MT216,MSE2302
MT026,MSE2301
MT218,MSE3314
ET310,CHN3405
GA357,LA3307
EI901,EE1503
AV104,AE1503
AV204,AE1702
FO103,AE1703
FO104,AE1704
EN138,AE1705
EN137,AE1706
EN136,FL1306
AV207,AE2402
AV208,AE2503
GA425,LA8005
GA426,LA8101
GA427,LA6302
XP301,AE2704
FO203,AE2705
FO204,AE2706
AV201,AE3301
AV308,AE3303
AV307,AE3402
AV310,AE3405
AV314,AE3406
AV318,AE3407
AV309,AE3504
AV315,AE3507
AV316,AE3708
AV317,AE3709
FO305,AE3710
AV311,AE4301
AV419,AE4303
AV422,AE4304
AV423,AE4305
AV410,AE4402
AV424,AE4406
AV425,AE4407
AV426,AE4408
AV427,AE4409
AV428,AE4510
AV429,AE4511
AV430,AE4512
AV431,AE4513
AV432,AE4514
AV433,AE4615
AV434,AE4616
AV435,AE4617
BS096,AE4718
PH025,PHY1209
CA383,CHEM5401
EN222,CHN1413
GA215,LA2317
GA216,LA3309
SE367,SE3353
SE234,SE2321
AI003,AI1601
AI004,AI1602
AI006,AI1603
AU331,AI3701
AU336,AI3702
AU337,AI3703
AU338,AI3704
AU340,AI3705
AU335,AI4701
AU339,AI4702
AR107,ARCH1308
AR117,ARCH1315
AR119,ARCH1316
AR118,ARCH1317
AR202,ARCH2301
AR210,ARCH2304
AR019,ARCH2308
AR304,ARCH2310
AR204,ARCH2312
CV204,ARCH2316
AR230,ARCH2318
AR018,ARCH2402
AR221,ARCH3301
AR307,ARCH3304
AR321,ARCH3306
AR322,ARCH3307
AR218,ARCH3308
AR315,ARCH3311
AR317,ARCH3314
AR318,ARCH3315
AR323,ARCH3317
AR313,ARCH3401
AR211,ARCH3402
AR411,ARCH3403
AR324,ARCH3405
AR403,ARCH4302
AR420,ARCH4303
AR421,ARCH4304
AR405,ARCH4307
AR413,ARCH4309
AR414,ARCH4310
AR400,ARCH4401
AR406,ARCH4402
AR412,ARCH4403
AR507,ARCH5303
AR506,ARCH5305
VR255,ART2550J
VR334,ART3340J
AN204,ASCI2301
AN211,ASCI2302
AN210,ASCI2303
BI115,ASCI2305
BI073,ASCI2307
AN209,ASCI2501
BI501,ASCI2502
BI491,ASCI2503
AN010,ASCI2601
AB399,ASCI3301
AN322,ASCI3302
AN328,ASCI3303
AN338,ASCI3401
AN329,ASCI3402
AN333,ASCI3403
AN326,ASCI3404
AN339,ASCI3405
AN300,ASCI3406
AN332,ASCI3407
AN307,ASCI3409
AN330,ASCI3410
BI504,ASCI3501
AN334,ASCI3503
AN340,ASCI3504
AN214,ASCI3505
AN337,ASCI3601
AN418,ASCI4403
AN213,ASCI4502
BS464,ASCI4601
XP102,ASCI4602
AS203,AST1401
AS101,AST1601
AS201,AST2601
AS202,AST2602
AS204,AST2901
AS302,AST3751
AS301,AST3752
AS305,AST3901
AS306,AST3902
AS304,AST4752
AS303,AST4753
AS401,AST4901
EE100,AU1601
AU203,AU2301
AU329,AU2302
AU408,AU2303
EI229,AU2514
AU330,AU3301
EI304,AU3302
AU204,AU3303
AU326,AU3304
AU311,AU3305
AU319,AU3306
AU416,AU3307
AU307,AU3308
AU310,AU3309
CS331,AU3310
AU302,AU3311
AU323,AU3312
AU328,AU3313
AU425,AU3314
AU424,AU3315
AU327,AU3316
AU324,AU3317
AU333,AU3320
AU342,AU3323
EI303,AU3501
EI315,AU3506
EI318,AU3517
EI343,AU3603
EE356,AU3605
EE352,AU3606
EE354,AU3607
AU321,AU3701
AU313,AU4301
AU420,AU4302
AU423,AU4303
BS099,AU4304
EE353,AU4606
EE355,AU4608
MU203,MUSI1508
AM233,BUSS1604
EM012,MECH2501
EM203,MECH2512
EM301,MECH3516
ME501,ME4932
ME114,ME3801
ME502,ME4933
ME456,PE3801
ME146,ME3802
PO443,PE4801
ME455,ME4803
ME454,ME4801
ME452,ME4802
CH075,MARX1207
MS005,JCCX0003
CA336,CHEM4451
AC408,BUSS3636
AC316,BUSS2516
AC317,BUSS2514
EN390,FL4325
VB116,BIO1160J
BI143,BIO1203
BI001,BIO1252
BI142,BIO1254
BI106,BIO1256
BI130,BIO1257
BI110,BIO1258
BI117,BIO1259
BI137,BIO1260
BI146,BIO1261
MS124,BIO1350
BI000,BIO1652
VB172,BIO1720J
BI131,BIO2201
BI144,BIO2202
BI145,BIO2203
BI211,BIO2210
BI315,BIO2220
BI292,BIO2222
BI013,BIO2251
BI223,BIO2254
BI286,BIO2301
BI287,BIO2302
BI261,BIO2351
BI262,BIO2352
MS307,BIO2353
MS308,BIO2354
BI385,BIO2355
BI249,BIO2356
BI147,BIO2357
BI291,BIO2401
BI295,BIO2402
BI017,BIO2451
BI289,BIO2501
BI290,BIO2502
BI296,BIO2503
BI299,BIO2602
BI285,BIO2603
BI278,BIO2609
BI356,BIO2610
BI014,BIO2651
BI224,BIO2654
BI288,BIO2711
BI279,BIO2751
BI280,BIO2752
BI313,BIO2801
BI293,BIO2811
BI294,BIO2911
BI307,BIO3201
BI461,BIO3202
BI310,BIO3301
BI318,BIO3302
BI419,BIO3304
BI423,BIO3305
MS202,BIO3350
BI260,BIO3351
MS310,BIO3352
MS306,BIO3353
MS309,BIO3354
MS305,BIO3355
BI467,BIO3401
BI326,BIO3402
BI339,BIO3404
BI382,BIO3405
BI410,BIO3406
BI444,BIO3408
BI483,BIO3410
BI484,BIO3411
BI485,BIO3412
BI486,BIO3413
BI487,BIO3414
BI371,BIO3501
BI372,BIO3502
BI383,BIO3503
BI437,BIO3504
BI462,BIO3505
BI470,BIO3506
BI471,BIO3507
BI472,BIO3508
BI473,BIO3509
BI475,BIO3510
BI476,BIO3511
BI493,BIO3512
CS022,BIO3513
BI506,BIO3514
BI357,BIO3601
BI308,BIO3651
BI362,BIO3701
BI328,BIO3711
BI344,BIO3721
BI366,BIO3722
BI281,BIO3752
BI479,BIO3801
BI480,BIO3805
BI323,BIO3811
BI364,BIO3821
BI469,BIO3822
BI329,BIO3911
BI367,BIO3921
BI466,BIO3922
BI412,BIO4401
BI411,BIO4701
BS447,BIO4702
BS104,BIO4750
BI402,BIO4801
BS449,BIO4802
BI390,BIO4901
BS448,BIO4902
BM318,BME1201
BM189,BME1202H
BI120,BME1203
BI918,BME1204
BI148,BME2201
BI496,BME2401
BI277,BME2402
BM251,BME2301
BI053,BME2302
BI138,BME2303
BI139,BME2304
BI276,BME3201
BI498,BME3202
BM253,BME3301
BI428,BME3302
BI455,BME3303
BI908,BME3304
CS364,BME3305
BI250,BME3306
EI368,BME3307
BI252,BME3308
BI909,BME3309
BI268,BME3310
BI255,BME3311
BI431,BME3401
BI124,BME3402
BI122,BME3403
BI407,BME3404
BI399,BME3405
BM321,BME3406
BM425,BME4201
BS098,BME4202
BI123,BME4301
BI136,BME4302
BI054,BME4303
BI048,BME4304
BI135,BME4401
BI458,BME5301
BI275,BME5302
BI497,BME5303
BI052,BME5304
BI355,BME6002H
VX101,BUS1010J
VX203,BUS2030J
VR208,BUS2080J
VX250,BUS2500J
VX251,BUS2510J
VX310,BUS3100J
VX351,BUS3515J
VR367,BUS3670J
VX401,BUS4010J
VX402,BUS4020J
VX420,BUS4200J
VX421,BUS4210J
VX422,BUS4220J
VX423,BUS4230J
VX425,BUS4250J
VX440,BUS4400J
VF457,BUS4570J
CS159,BUSS1301
BU103,BUSS1302
BU108,BUSS1303
MA187,BUSS1402
AM110,BUSS1601
AC101,BUSS1602
AM103,BUSS1603
BU203,BUSS2301
EC211,BUSS2302
IM203,BUSS2401
AM212,BUSS2402
BU311,BUSS2406
BU348,BUSS2408
BU388,BUSS2409
AM213,BUSS2410
AC352,BUSS2501
BU327,BUSS2502
AM217,BUSS2503
AC311,BUSS2504
AM218,BUSS2505
IM414,BUSS2506
AM214,BUSS2507
HR200,BUSS2509
AM216,BUSS2510
BU304,BUSS2512
AM215,BUSS2513
BU339,BUSS2601
AM220,BUSS2603
AM221,BUSS2604
IM202,BUSS2607
AC305,BUSS2610
BU202,BUSS3404
BU460,BUSS3411
AC313,BUSS3501
AM353,BUSS3502
AC456,BUSS3503
BU102,BUSS3504
BU370,BUSS3505
AM416,BUSS3507
BU343,BUSS3508
AC434,BUSS3513
IM324,BUSS3514
IM323,BUSS3515
HR307,BUSS3517
BU369,BUSS3519
AM303,BUSS3520
IM403,BUSS3521
AM417,BUSS3523
BU308,BUSS3524
AC331,BUSS3525
HR405,BUSS3526
CV103,CE2603
CV202,CE2605
EM214,CE2606
CV219,CE2609
CV104,CE2610
CV220,CE2612
CV221,CE2613
CV206,CE2614
AR020,CE2617
CV218,CE2619
CV001,CE2620
EM227,CE2650H
CE320,CENG4501
CE323,CENG4502
CE327,CENG4503
CE331,CENG4504
CE409,CENG4505
CE332,CENG4601
CE333,CENG4602
CE410,CENG4603
CA216,CENG4701
CE321,CENG4702
CA245,CHEM1201
CA001,CHEM1202
BM110,CHEM1205
BM125,CHEM1207
CA160,CHEM1208
CA149,CHEM1210
BM177,CHEM1211
CA157,CHEM1211H
CA253,CHEM1212
CA165,CHEM1213
CA166,CHEM1214
BM180,CHEM1215
BM176,CHEM1216
BM178,CHEM1217
BM179,CHEM1218
CA380,CHEM1220
CA163,CHEM1250
CA156,CHEM1301
CA044,CHEM1302
CA254,CHEM1309
CA161,CHEM1350
VC209,CHEM2090J
VC210,CHEM2100J
VC211,CHEM2110J
CA239,CHEM2201
CA240,CHEM2202
CA113,CHEM2203
CA018,CHEM2204
CA125,CHEM2205
CA047,CHEM2250
CA251,CHEM2251
CA155,CHEM2301
CA042,CHEM2302
CA023,CHEM2303
CA137,CHEM2304
EE035,CHEM3001
CA242,CHEM3201
CA220,CHEM3202
CA243,CHEM3301
CA241,CHEM3307
CA227,CHEM3308
CA223,CHEM3350
CA354,CHEM3351
CA244,CHEM3401
CA124,CHEM3403
CA219,CHEM3404
CA147,CHEM3550
MS116,CHEM3650
CA249,CHEM4301
CA352,CHEM4304
CE203,CHEM4306
EV310,CHEM4314
CA355,CHEM4350
CA248,CHEM4401
CA317,CHEM4402
EV309,CHEM4403
CA333,CHEM4404
CA305,CHEM4405
CA318,CHEM4406
CA319,CHEM4407
CA316,CHEM4408
CA230,CHEM4409
CA469,CHEM4410
CE202,CHEM4411
CA403,CHEM4413
CA132,CHEM4415
CA348,CHEM4416
CA221,CHEM4419
CA337,CHEM4420
CA338,CHEM4421
CA342,CHEM4422
CA378,CHEM4423
CA356,CHEM4450
CA402,CHEM4503
CA363,CHEM4504
CA365,CHEM4505
CA468,CHEM4506
CA369,CHEM4508
CA373,CHEM4550
CE101,CHEM4551
CA375,CHEM4601
CA374,CHEM4602
CA414,CHEM4603
CA413,CHEM4604
MS119,CHEM4610
MS120,CHEM4611
BS451,CHEM4650
CE328,CHEM4701
CA370,CHEM4702
CE412,CHEM4703
CA148,CHEM4705
CA467,CHEM4706
CA401,CHEM4707
CA372,CHEM4708
CA310,CHEM5402
CA346,CHEM5405
CA340,CHEM5502
CA332,CHEM5503
CA344,CHEM5506
CA343,CHEM5550
MS402,CHEM5650
MS118,CHEN3651
VZ003,CHN0030J
VZ011,CHN0110J
VZ012,CHN0120J
VZ021,CHN0210J
VZ022,CHN0220J
VZ031,CHN0310J
VZ032,CHN0320J
VZ041,CHN0410J
VZ042,CHN0420J
VZ051,CHN0510J
VZ052,CHN0520J
VZ061,CHN0610J
VZ062,CHN0620J
SO113,CHN0914
CH008,CHN0919
CH080,CHN0920
CH081,CHN0921
JC304,CHN0922
CH003,CHN0924
VZ102,CHN1020J
CL116,CHN1301
CL201,CHN1302
CL202,CHN1303
CL107,CHN1304
CH101,CHN1306
CL101,CHN1307
CL117,CHN1308
CL205,CHN1309
CL210,CHN1310
CL115,CHN1311
CH102,CHN1312
CL119,CHN1313
CH943,CHN1350
CL034,CHN1351
EN141,CHN1352
CI101,CHN1401
CI103,CHN1402
CI114,CHN1403
CI207,CHN1404
CI102,CHN1405
CI104,CHN1406
CI115,CHN1407
CI208,CHN1408
CI237,CHN1409
CI386,CHN1410
CI120,CHN1411
CI121,CHN1412
EN223,CHN1414
CL105,CHN2301
CL310,CHN2302
CL231,CHN2303
EN259,CHN2304
CH051,CHN2305
CL219,CHN2306
CL220,CHN2307
CL225,CHN2308
CL226,CHN2309
CL227,CHN2310
CL228,CHN2311
CL229,CHN2312
CL313,CHN2313
CH110,CHN2314
CH203,CHN2315
CL217,CHN2316
CL311,CHN2317
CL218,CHN2318
CL230,CHN2319
CL216,CHN2320
CL221,CHN2321
CL222,CHN2322
CL223,CHN2323
CL224,CHN2324
CH111,CHN2325
CI201,CHN2401
CI203,CHN2402
CI225,CHN2403
CI341,CHN2404
CI202,CHN2405
CI204,CHN2406
CI226,CHN2407
CI342,CHN2408
CI321,CHN2409
JA220,CHN2410
CI216,CHN2411
CI227,CHN2412
PM348,CHN2413
CI376,CHN2414
CI119,CHN2415
CI438,CHN2416
CI228,CHN2417
CI229,CHN2418
CI230,CHN2419
CI231,CHN2420
CI232,CHN2421
CI233,CHN2422
CI234,CHN2423
CI235,CHN2424
VR252,CHN2520J
VR280,CHN2800J
CL331,CHN3301
CL332,CHN3302
CL212,CHN3303
CL323,CHN3304
CL333,CHN3305
CL334,CHN3306
CL335,CHN3307
CL336,CHN3308
CL348,CHN3309
CL409,CHN3310
CL422,CHN3311
CH305,CHN3312
CL330,CHN3313
CL300,CHN3314
CL337,CHN3315
CL338,CHN3316
CL339,CHN3317
CL340,CHN3318
CL341,CHN3319
CL342,CHN3320
CL343,CHN3321
CL344,CHN3322
CL345,CHN3323
CL346,CHN3324
CH306,CHN3325
CL347,CHN3326
CI305,CHN3401
CI306,CHN3402
CI363,CHN3403
CI421,CHN3404
CI313,CHN3406
CI314,CHN3407
CI387,CHN3408
CI315,CHN3409
CI378,CHN3410
CI379,CHN3411
CI388,CHN3412
CI402,CHN3413
CI300,CHN3414
CI350,CHN3415
CI319,CHN3416
CI389,CHN3417
CI390,CHN3418
CI366,CHN3419
CI369,CHN3420
CI373,CHN3421
EC106,CHN3422
BU101,CHN3423
CI367,CHN3424
CI374,CHN3425
ET400,CHN3426
CI364,CHN3427
CI365,CHN3428
FI300,CHN3429
EN435,CHN3430
CI382,CHN3431
CI383,CHN3432
EN340,CHN3433
EN341,CHN3434
CI346,CHN3435
CI347,CHN3436
VR363,CHN3630J
BS452,CHN4301
EN411,CHN4302
CI357,CHN4401
CI437,CHN4402
CI380,CHN4403
CI401,CHN4404
CI431,CHN4405
CI407,CHN4406
CI439,CHN4407
CI411,CHN4408
CI429,CHN4409
BU401,CHN4410
FI316,CHN4411
BS425,CHN4412
BS062,CHN4413
BU106,CIM4478
JC121,CIM4480
EC101,CIM1203
CH323,CIM1225
JC036,CIM1241
CH128,CIM1243
CH007,CIM4479
PU221,CIM2207
PU222,CIM2208
CH108,CIM2209
CH321,CIM2210
FT351,CIM2211
JC308,CIM2212
PU235,CIM2213
PU420,CIM2214
JC117,CIM2242
PU333,CIM2249
JC038,CIM2252
PU332,CIM3115
PU341,CIM3116
PU342,CIM3117
PU344,CIM3118
PU343,CIM3120
PU011,CIM3126
PU347,CIM3127
PU346,CIM3128
PU418,CIM3129
JC037,CIM3150
JC119,CIM3151
PU348,CIM3232
PU349,CIM3233
PU350,CIM3234
PU354,CIM3235
PU355,CIM3236
PU416,CIM3437
JC407,CIM4121
JC408,CIM4122
PU437,CIM4123
PU414,CIM4130
PU417,CIM4131
BS019,CIM4438
CS149,CS0501
CS158,CS0501H
CS146,CS0900
CS171,CS1501
CS157,CS1501H
MA208,CS1601
CS124,CS1602
CS125,CS1603
CS162,CS1651
CS165,CS1652
CS163,CS1950
CS147,CS1951
MS106,CS1952
CS151,CS1953
CS152,CS1954
CS101,CS1955
MS125,CS1956
CS037,CS1980
CS172,CS1983
CS308,CS2301
CS307,CS2302
CS356,CS2303
CS499,CS2304
CS359,CS2305
CS145,CS2306
EI209,CS2307
CS214,CS2308
CS241,CS2309
MA238,CS2501
MA239,CS2501H
EI313,CS2522
CS221,CS2602
CS263,CS2603
EI333,CS2604
CS169,CS2651
CS170,CS2901
CS301,CS2950
MS108,CS2951
MS110,CS2952
MS208,CS2953
MA150,CS2954
CS225,CS2955
CS233,CS2956
CS251,CS2957
CS259,CS2958
CS387,CS2959
CS389,CS2960
CS447,CS2961
CS477,CS2962
CS487,CS2963
MA115,CS2964
CS254,CS2980
CS040,CS2981
CS089,CS2982
CS091,CS2983
CS473,CS3301
CS353,CS3302
SE353,CS3303
CS383,CS3304
IS310,CS3305
CS246,CS3306
CS438,CS3307
CS420,CS3308
CS240,CS3309
CS337,CS3310
CS339,CS3311
IS308,CS3312
CS467,CS3313
IS307,CS3314
CS242,CS3315
CS489,CS3316
CS410,CS3317
CS245,CS3319
CS239,CS3320
SE305,CS3321
CS235,CS3323
CS386,CS3324
IS309,CS3325
IS312,CS3326
CS238,CS3327
CS236,CS3328
CS431,CS3329
CS445,CS3330
EE458,CS3331
EI328,CS3507
EI327,CS3511
EI314,CS3512
EI326,CS3520
EI339,CS3606
EI338,CS3607
CS222,CS3608
CS385,CS3609
EE359,CS3610
EE357,CS3611
CS217,CS3950
MS113,CS3951
CS392,CS3952
CS391,CS3953
CS396,CS3954
MS318,CS3955
CS229,CS3956
CS230,CS3957
CS433,CS4302
CS248,CS4303
CS243,CS4304
CS427,CS4305
CS237,CS4306
CS244,CS4307
CS226,CS4308
IS314,CS4309
CS247,CS4310
IS311,CS4311
IS313,CS4312
CS249,CS4313
CS382,CS4314
BS101,CS4315
EI402,CS4504
EI403,CS4510
MS117,CS4950
CS207,CS4951
BS432,CS4952
VR201,CUL2010J
VR253,CUL2530J
VR353,CUL3530J
VR399,CUL3990J
AD110,DES1303
ID106,DES1305
ID107,DES1306
ID103,DES1307
ID105,DES1308
AD117,DES1310
ID117,DES1314
ID212,DES1315
ID113,DES1316
ID108,DES1317
ID120,DES1350H
AD126,DES1511
ID114,DES1512
AD127,DES1513
AD132,DES1601
AD116,DES1602
AD125,DES1603
AD237,DES1604
AD414,DES1605
AD084,DES1606
ID417,DES1607
AD214,DES1704
AD130,DES1705
AD131,DES1706
AD128,DES1707
CS111,DES2301
ID038,DES2306
AD803,DES4808
ID036,DES2308
ID037,DES2309
ID039,DES2311
ID204,DES2312
ID419,DES2318
IO409,DES2319
ID514,DES2320
ID420,DES2321
ID418,DES2322
AD083,DES2325
AD206,DES2501
AD086,DES2504
JC039,DES2505
AD087,DES2506
AD085,DES2507
AD232,DES2512
AD416,DES2515
AD226,DES2516
AD412,DES2517
AD233,DES2703
AD082,DES2704
AD308,DES2705
AD089,DES2706
AD088,DES2707
ID421,DES2713
AD411,DES2714
AD413,DES2715
AD415,DES2716
ID325,DES3304
ID321,DES3307
ID327,DES3311
ID609,DES3314
ID702,DES3319
ID512,DES3504
AD510,DES3505
AD512,DES3506
AD508,DES3507
AD618,DES3514
AD617,DES3515
ID606,DES3517
ID510,DES3601
AD613,DES3604
AD509,DES3704
